epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,796.684,0.87947,1.25151,1.02189,0.73517,0.7576,0.79094,0.58043,0.90836,1.05573,0.99933,0.000661064,0.000661064,0.000661064
2,1647.14,0.89084,0.82726,1.02054,0.7316,0.79843,0.83426,0.62495,0.84799,0.81928,0.9852,0.00126201,0.00126201,0.00126201
3,3003.99,0.87927,0.78702,1.01719,0.77339,0.78476,0.84634,0.63559,0.87287,0.78648,0.99783,0.00179695,0.00179695,0.00179695
4,4412.14,0.88363,0.76712,1.01944,0.78234,0.81568,0.85248,0.6399,0.84413,0.84626,0.99495,0.001703,0.001703,0.001703
5,9672,0.85725,0.72428,1.0138,0.76591,0.81712,0.85868,0.65196,0.86094,0.73491,0.9974,0.001604,0.001604,0.001604
6,10420.6,0.83773,0.69939,1.00473,0.7808,0.83293,0.8709,0.67621,0.80332,0.65871,0.96934,0.001505,0.001505,0.001505
7,11192.7,0.8258,0.67358,0.99776,0.79235,0.80612,0.86411,0.66394,0.80499,0.67898,0.96548,0.001406,0.001406,0.001406
8,12007.9,0.80608,0.65784,0.99069,0.77955,0.80279,0.86767,0.68217,0.78022,0.66813,0.95405,0.001307,0.001307,0.001307
9,12839.3,0.80171,0.64586,0.9913,0.7628,0.83116,0.87064,0.69543,0.75556,0.62199,0.94366,0.001208,0.001208,0.001208
10,13660.9,0.79641,0.63884,0.9867,0.80349,0.8179,0.88836,0.70805,0.748,0.59821,0.94413,0.001109,0.001109,0.001109
11,14463.6,0.75759,0.61285,0.95362,0.80477,0.84267,0.90031,0.70895,0.76933,0.58145,0.94663,0.00101,0.00101,0.00101
12,15264.8,0.75346,0.59509,0.94853,0.80353,0.83975,0.89459,0.71644,0.74086,0.57235,0.93402,0.000911,0.000911,0.000911
13,16080.5,0.73972,0.5775,0.94336,0.82702,0.82324,0.89986,0.71802,0.74808,0.57054,0.93751,0.000812,0.000812,0.000812
